Protein A,Protein B,GO similarity under BP term,GO similarity under MF term,GO similarity under CC term,Combined Score
YAL005C,YLR347C,0.05,0.05,0.289,399.0
YAL005C,YNL007C,0.324,0.076,0.506,999.0
YAL005C,YNL064C,0.092,0.082,1.0,999.0
YAL005C,YNL077W,0.625,0.101,0.599,970.0
YAL005C,YOR098C,0.159,0.129,0.234,558.0
YAL005C,YOR151C,0.339,0.076,0.599,470.0
YAL005C,YOR160W,0.057,0.05,1.0,328.0
YAL005C,YPL240C,0.153,0.101,1.0,999.0
YAL005C,YPR010C,0.323,0.066,0.282,604.0
YAL007C,YAR002C-A,0.505,1.0,1.0,994.0
YAL007C,YBR036C,0.037,0.643,0.346,
YAL007C,YBR183W,0.043,0.477,0.159,
YAL007C,YCL025C,0.842,0.182,0.327,159.0
YAL007C,YDL054C,0.842,0.643,1.0,270.0
YAL007C,YDR087C,0.046,1.0,0.126,623.0
YAL007C,YDR101C,0.249,0.323,0.088,657.0
YAL007C,YDR127W,0.048,0.323,0.157,602.0
YAL007C,YEL002C,0.048,0.255,0.239,460.0
YAL007C,YEL063C,0.357,0.149,0.522,
YAL007C,YER110C,0.05,0.383,0.372,447.0
YAL007C,YGL200C,0.498,1.0,1.0,990.0
YAL007C,YGR060W,0.088,0.477,1.0,
YAL007C,YHR026W,0.842,0.209,0.549,
YAL007C,YHR110W,1.0,1.0,1.0,906.0
YAL007C,YHR140W,0.323,1.0,0.549,
YAL007C,YJL117W,0.842,0.383,0.549,302.0
YAL007C,YLR342W,0.082,0.207,0.07,725.0
YAL007C,YML012W,0.505,1.0,0.549,999.0
YAL007C,YMR290C,0.046,0.208,0.076,601.0
YAL007C,YNL130C,0.03,0.255,0.327,187.0
YAL007C,YPL076W,0.025,0.477,1.0,154.0
YAL007C,YPL211W,0.058,0.282,0.126,638.0
YAL007C,YPL264C,0.323,1.0,1.0,
YAL007C,YPR201W,0.842,0.235,1.0,
YAL009W,YDL040C,0.086,0.11,0.099,742.0
YAL009W,YDR211W,0.093,0.185,0.131,660.0
YAL009W,YHR004C,0.0,0.869,1.0,999.0
YAL009W,YJL176C,0.108,0.084,0.091,634.0
YAL009W,YLR310C,0.137,0.141,0.327,188.0
YAL009W,YLR342W,0.275,0.13,0.07,591.0
YAL010C,YFL048C,0.362,0.318,0.346,
YAL010C,YJL066C,0.055,1.0,0.099,616.0
YAL010C,YMR203W,0.334,0.255,0.124,996.0
YAL010C,YPL235W,0.097,0.122,0.059,602.0
YAL011W,YBL007C,0.034,0.318,0.132,331.0
YAL011W,YDL181W,0.274,0.477,0.376,236.0
YAL011W,YDR225W,0.567,0.282,0.773,322.0
YAL011W,YDR334W,1.0,0.251,1.0,992.0
YAL011W,YER081W,0.1,0.227,0.261,
YAL011W,YGR002C,0.055,0.282,1.0,986.0
YAL011W,YHR158C,0.05,1.0,0.0,406.0
YAL011W,YIR018W,0.728,0.477,0.875,264.0
YAL011W,YNL107W,1.0,1.0,0.466,984.0
YAL011W,YOL012C,0.065,0.477,0.466,943.0
YAL011W,YOR127W,0.047,0.255,0.289,453.0
YAL011W,YOR269W,0.052,0.383,0.39,385.0
YAL012W,YBR055C,0.152,0.323,0.358,206.0
YAL012W,YJR091C,0.138,0.087,0.334,
YAL012W,YMR101C,0.296,0.407,0.506,224.0
YAL012W,YMR300C,0.473,0.235,1.0,886.0
YAL012W,YPL149W,0.042,0.407,0.537,186.0
YAL013W,YGL061C,0.106,0.227,0.642,237.0
YAL013W,YNL330C,0.516,0.217,0.789,994.0
YAL014C,YER133W,0.1,0.214,0.34,561.0
YAL014C,YIL034C,0.118,0.557,0.428,172.0
YAL015C,YBR020W,0.236,0.328,0.599,384.0
YAL015C,YBR127C,0.035,0.169,0.087,
YAL015C,YCL018W,0.163,0.284,0.606,454.0
YAL015C,YCL064C,0.243,0.114,1.0,
YAL015C,YDL029W,0.037,0.055,0.381,187.0
YAL015C,YDL059C,0.479,0.214,0.74,411.0
YAL015C,YDR214W,0.29,0.139,0.599,185.0
YAL015C,YEL030W,0.298,0.128,1.0,
YAL015C,YEL060C,0.241,0.453,0.703,
YAL015C,YFL037W,0.037,0.128,0.396,
YAL015C,YFL039C,0.059,0.196,0.511,171.0
YAL015C,YGR282C,0.074,0.173,0.22,165.0
YAL015C,YJL066C,0.08,0.383,1.0,
YAL015C,YJL088W,0.27,0.284,0.606,
YAL015C,YJR045C,0.036,0.128,1.0,
YAL015C,YJR068W,0.061,0.235,0.381,248.0
YAL015C,YJR077C,0.084,0.119,1.0,
YAL015C,YML085C,0.054,0.387,0.599,
YAL015C,YMR012W,0.093,0.106,0.599,
YAL015C,YMR058W,0.048,0.085,0.275,200.0
YAL015C,YMR146C,0.25,0.106,0.543,
YAL015C,YMR214W,0.331,0.173,0.824,
YAL015C,YNL037C,0.199,0.252,0.579,156.0
YAL015C,YPR110C,0.037,0.133,0.415,277.0
YAL016W,YAL024C,0.144,0.169,0.504,843.0
YAL016W,YDL134C,1.0,1.0,0.294,999.0
YAL016W,YDL188C,0.19,0.082,0.143,999.0
YAL016W,YDR482C,0.029,0.234,0.396,182.0
YAL016W,YFR024C-A,0.028,0.234,0.396,253.0
YAL016W,YFR040W,0.272,0.234,0.396,645.0
YAL016W,YGL190C,0.052,0.082,0.166,999.0
YAL016W,YGR161C,0.051,0.234,0.396,973.0
YAL016W,YGR281W,0.028,0.033,0.229,644.0
YAL016W,YHR082C,0.046,0.121,0.276,266.0
YAL016W,YHR135C,0.034,0.079,0.419,536.0
YAL016W,YHR158C,0.591,0.234,0.0,782.0
YAL016W,YJL020C,0.215,0.068,0.168,320.0
YAL016W,YLR191W,0.115,0.091,0.149,244.0
YAL016W,YML109W,0.081,0.234,0.396,930.0
YAL016W,YMR109W,0.028,0.192,0.168,233.0
YAL016W,YMR273C,0.115,0.082,0.396,921.0
YAL016W,YNL127W,0.185,0.234,0.232,980.0
YAL016W,YNR032W,0.034,0.877,0.276,947.0
YAL016W,YOL113W,0.086,0.079,0.276,177.0
YAL016W,YOR014W,0.269,0.082,0.276,999.0
YAL016W,YPL152W,0.03,0.082,0.396,998.0
YAL017W,YCL027W,0.101,0.251,0.234,324.0
YAL017W,YDR099W,0.226,0.289,0.506,767.0
YAL017W,YDR190C,0.048,0.047,0.261,156.0
YAL017W,YER054C,0.215,0.128,0.604,394.0
YAL017W,YER133W,0.087,0.154,0.235,359.0
YAL017W,YFR053C,0.126,0.083,0.784,169.0
YAL017W,YGL112C,0.063,0.096,0.506,601.0
YAL017W,YKL035W,0.231,0.079,0.425,844.0
YAL017W,YLR258W,0.13,0.192,1.0,603.0
YAL017W,YMR205C,0.167,0.076,0.599,
YAL017W,YOL045W,1.0,1.0,1.0,583.0
YAL017W,YPR160W,0.169,0.086,1.0,578.0
YAL018C,YBR036C,0.092,0.643,0.305,
YAL018C,YBR290W,0.052,0.477,0.32,
YAL018C,YCL025C,0.039,0.182,0.305,
YAL018C,YDL017W,0.255,0.251,0.554,516.0
YAL018C,YDR331W,0.08,0.283,0.322,
YAL018C,YHR026W,0.039,0.209,0.166,181.0
YAL018C,YHR114W,0.031,0.477,0.506,239.0
YAL018C,YLL028W,0.067,0.2,0.305,161.0
YAL018C,YLR034C,0.058,0.643,0.117,
YAL018C,YLR264W,0.033,0.477,0.472,234.0
YAL018C,YMR001C,0.039,0.242,0.595,604.0
YAL019W,YBL088C,0.271,0.252,0.431,654.0
YAL019W,YBR084W,0.09,0.127,0.74,749.0
YAL019W,YBR160W,0.137,0.098,0.371,549.0
YAL019W,YDL117W,0.139,0.149,0.276,
YAL019W,YJL124C,0.202,0.064,0.506,240.0
YAL019W,YOL045W,0.419,0.068,0.506,246.0
YAL021C,YBL099W,0.194,0.04,0.335,
YAL021C,YBR020W,0.177,0.122,0.288,305.0
YAL021C,YBR072W,0.055,0.196,0.288,166.0
YAL021C,YBR127C,0.039,0.039,0.233,
YAL021C,YCL018W,0.183,0.105,0.237,
YAL021C,YCL028W,0.062,0.323,0.497,155.0
YAL021C,YCR093W,0.059,0.323,0.288,999.0
YAL021C,YDL165W,0.772,0.146,0.497,999.0
YAL021C,YDR171W,0.071,0.328,0.288,
YAL021C,YDR188W,0.275,0.247,0.288,618.0
YAL021C,YDR190C,0.038,0.045,0.511,
YAL021C,YDR443C,0.716,0.109,0.497,438.0
YAL021C,YER068W,0.153,0.219,0.288,999.0
YAL021C,YFL028C,0.113,0.247,0.288,955.0
YAL021C,YFL037W,0.029,0.247,0.474,
YAL021C,YFL039C,0.047,0.07,0.299,381.0
YAL021C,YGL048C,0.863,0.328,0.288,329.0
YAL021C,YGL178W,0.372,0.291,0.288,937.0
YAL021C,YGL195W,0.611,0.323,0.398,500.0
YAL021C,YGR086C,0.025,0.407,0.202,
YAL021C,YGR092W,0.189,0.084,0.299,836.0
YAL021C,YGR134W,1.0,0.323,0.288,991.0
YAL021C,YGR155W,0.184,0.105,0.288,155.0
YAL021C,YGR184C,0.149,0.754,0.288,199.0
YAL021C,YJL130C,0.147,0.247,0.288,
YAL021C,YJR121W,0.194,0.039,0.233,
YAL021C,YKR036C,0.058,0.323,0.398,941.0
YAL021C,YLL013C,0.289,0.25,0.288,889.0
YAL021C,YLR180W,0.285,0.247,0.288,
YAL021C,YLR259C,0.213,0.328,0.398,
YAL021C,YML085C,0.042,0.082,0.288,
YAL021C,YMR214W,0.241,0.328,0.383,
YAL021C,YNL025C,0.27,0.235,0.497,615.0
YAL021C,YNL064C,0.034,1.0,0.288,
YAL021C,YNL071W,0.11,0.069,0.482,
YAL021C,YNL288W,1.0,0.323,0.409,999.0
YAL021C,YNR052C,0.28,0.061,0.288,999.0
YAL021C,YOR027W,0.034,0.119,0.288,185.0
YAL021C,YPL042C,0.189,1.0,0.749,391.0
YAL021C,YPR072W,0.958,0.146,0.288,999.0
YAL022C,YBR159W,0.2,0.097,0.239,
YAL022C,YDR497C,0.564,0.476,1.0,240.0
YAL022C,YGL132W,0.0,0.0,0.0,163.0
YAL022C,YHR140W,0.217,0.255,0.549,
YAL022C,YJR117W,0.127,0.146,0.346,
YAL023C,YAR027W,0.076,0.255,0.704,
YAL024C,YBR160W,0.347,0.166,0.487,928.0
YAL024C,YHR030C,0.125,0.192,0.504,231.0
YAL024C,YHR158C,0.242,0.643,0.0,985.0
YAL024C,YIR009W,0.065,0.172,0.364,328.0
YAL025C,YJR044C,0.1,1.0,0.499,165.0
YAL025C,YOR005C,0.722,0.283,0.68,163.0
YAL025C,YOR267C,0.41,0.226,0.506,420.0
YAL026C,YAL053W,0.082,0.184,0.73,665.0
YAL026C,YDL192W,0.404,0.034,0.338,760.0
YAL026C,YPL146C,0.039,0.066,0.557,204.0
YAL027W,YBR196C,0.184,0.123,0.74,618.0
YAL027W,YCL024W,0.054,0.128,0.506,667.0
YAL027W,YDR174W,0.4,0.604,0.611,658.0
YAL027W,YDR381W,0.314,0.535,0.68,636.0
YAL027W,YDR507C,0.182,0.123,0.276,618.0
YAL027W,YLR044C,0.199,0.161,1.0,593.0
YAL027W,YML095C,0.341,0.045,0.624,972.0
YAL027W,YOL086C,0.201,0.123,0.506,567.0
YAL027W,YPL022W,0.484,0.642,1.0,982.0
YAL028W,YBL050W,0.09,0.383,0.596,234.0
YAL028W,YBR160W,0.106,0.226,0.107,272.0
YAL028W,YDL239C,0.163,1.0,0.086,
YAL028W,YLR233C,0.062,0.235,0.117,238.0
YAL029C,YBR081C,0.079,0.08,0.381,610.0
YAL029C,YBR109C,0.165,0.156,0.212,968.0
YAL029C,YBR130C,0.108,0.191,0.367,999.0
YAL029C,YDR101C,0.079,0.18,0.437,577.0
YAL029C,YER110C,0.196,0.055,0.479,493.0
YAL029C,YFL039C,0.112,0.029,0.651,990.0
YAL029C,YGL106W,0.226,0.18,0.212,993.0
YAL029C,YGL195W,0.069,0.1,0.381,519.0
YAL029C,YHR023W,0.164,0.033,0.212,926.0
YAL029C,YKL130C,0.079,0.191,0.367,999.0
YAL029C,YLR249W,0.108,1.0,0.379,629.0
YAL029C,YMR139W,0.172,1.0,0.379,196.0
YAL029C,YMR186W,0.141,0.124,0.381,583.0
YAL029C,YMR309C,0.148,0.124,0.472,630.0
YAL029C,YOL086C,0.089,0.066,0.379,642.0
YAL029C,YOR181W,0.08,0.106,0.192,410.0
YAL030W,YDR468C,0.222,1.0,0.342,998.0
YAL030W,YGR009C,0.418,1.0,0.391,999.0
YAL031C,YBR160W,0.198,0.084,0.511,320.0
YAL031C,YCL027W,0.111,0.323,0.234,541.0
YAL031C,YER133W,0.128,0.181,0.235,773.0
YAL032C,YBR017C,0.077,0.158,0.506,229.0
YAL032C,YDL209C,0.816,0.133,0.109,999.0
YAL032C,YDR364C,0.075,1.0,0.688,999.0
YAL032C,YDR416W,0.901,1.0,1.0,999.0
YAL032C,YGL120C,1.0,0.154,1.0,998.0
YAL032C,YGL128C,0.651,0.477,0.688,974.0
YAL032C,YGR278W,1.0,0.163,0.506,999.0
YAL032C,YJL203W,0.901,0.163,1.0,990.0
YAL032C,YKL095W,0.604,0.59,1.0,999.0
YAL032C,YKL173W,0.847,0.133,0.662,999.0
YAL032C,YLL036C,1.0,0.59,1.0,999.0
YAL032C,YLR117C,0.587,0.59,0.602,999.0
YAL032C,YLR338W,0.0,0.0,0.0,161.0
YAL032C,YLR345W,0.264,0.269,0.506,388.0
YAL032C,YLR423C,0.25,0.145,0.166,
YAL032C,YML049C,0.633,0.186,1.0,992.0
YAL032C,YMR213W,0.839,1.0,0.109,999.0
YAL032C,YMR288W,0.633,0.133,0.662,999.0
YAL032C,YNL189W,0.027,0.214,1.0,
YAL032C,YOR036W,0.054,0.214,0.166,161.0
YAL032C,YPL151C,0.847,0.477,0.688,999.0
YAL032C,YPL213W,0.847,0.477,0.506,999.0
YAL033W,YBR167C,1.0,0.496,0.351,999.0
YAL033W,YJR115W,0.12,0.156,0.113,163.0
YAL034C,YBR198C,0.081,0.25,0.218,811.0
YAL034C,YER110C,0.104,0.133,0.115,727.0
YAL034C,YGR274C,0.08,0.871,0.098,673.0
YAL034C,YOL004W,0.061,0.111,0.218,755.0
YAL034C,YOL086C,0.114,0.163,0.314,625.0
YAL034W-A,YDL028C,0.034,0.251,0.938,580.0
YAL034W-A,YGL172W,0.127,0.477,0.434,242.0
YAL034W-A,YGR120C,0.135,1.0,0.341,224.0
YAL034W-A,YJR091C,0.024,0.235,0.263,
YAL034W-A,YKL103C,0.034,0.255,0.353,296.0
YAL035W,YBR084W,0.192,0.154,0.496,776.0
YAL035W,YDL014W,0.255,0.091,0.568,835.0
YAL035W,YDR496C,0.058,0.048,0.551,974.0
YAL035W,YER036C,0.192,0.033,0.629,903.0
YAL035W,YER142C,0.22,0.17,0.332,208.0
YAL035W,YGL130W,0.288,0.185,0.332,796.0
YAL035W,YGR102C,0.212,0.154,0.496,617.0
YAL035W,YIL018W,0.681,0.129,0.629,979.0
YAL035W,YIR001C,0.3,0.076,0.629,168.0
YAL035W,YLR175W,0.342,0.185,0.734,966.0
YAL035W,YLR241W,0.045,0.034,0.112,161.0
YAL035W,YLR427W,0.107,0.234,0.629,179.0
YAL035W,YMR106C,0.103,0.491,0.356,169.0
YAL035W,YMR309C,0.69,0.101,0.57,993.0
YAL035W,YNL030W,0.405,0.076,0.225,169.0
YAL035W,YOR119C,0.125,0.079,0.629,799.0
YAL035W,YOR361C,0.911,0.076,0.645,998.0
YAL035W,YPR041W,0.681,0.079,0.765,999.0
YAL036C,YBR118W,0.031,0.191,0.601,153.0
YAL036C,YCL018W,0.28,0.041,0.494,
YAL036C,YCR038C,0.078,0.066,0.601,420.0
YAL036C,YDL065C,0.108,0.148,0.364,189.0
YAL036C,YDL126C,0.237,0.801,0.275,
YAL036C,YDR152W,1.0,0.1,1.0,995.0
YAL036C,YFL039C,0.077,0.029,0.413,
YAL036C,YGR162W,0.052,0.243,0.516,846.0
YAL036C,YGR250C,0.128,0.477,0.516,545.0
YAL036C,YHR027C,0.395,0.08,0.413,223.0
YAL036C,YIL075C,0.395,0.08,0.413,198.0
YAL036C,YJL130C,0.234,0.477,0.601,
YAL036C,YJL138C,0.946,0.801,0.357,257.0
YAL036C,YKL152C,0.225,0.08,0.28,
YAL036C,YMR012W,0.134,0.191,0.601,450.0
YAL036C,YMR205C,0.225,0.034,0.387,180.0
YAL036C,YNR022C,0.68,0.066,0.895,161.0
YAL036C,YPL061W,0.14,0.041,0.387,
YAL038W,YNL307C,0.172,0.154,0.314,449.0
YAL038W,YOR226C,0.11,0.289,0.451,237.0
YAL040C,YBR160W,0.196,0.084,0.371,999.0
YAL040C,YGL120C,0.078,0.11,1.0,398.0
YAL040C,YJL013C,0.337,0.323,0.68,591.0
YAL040C,YJL157C,0.139,0.643,0.506,979.0
YAL040C,YJR132W,0.051,0.082,0.661,229.0
YAL040C,YLL021W,0.306,0.089,0.295,295.0
YAL040C,YLR182W,0.065,0.111,0.506,998.0
YAL040C,YLR259C,0.093,0.146,0.74,
YAL040C,YNL064C,0.07,0.122,0.506,683.0
YAL040C,YNL189W,0.07,0.146,1.0,370.0
YAL040C,YOR269W,0.035,0.146,0.554,238.0
YAL040C,YPL014W,0.125,0.323,1.0,756.0
YAL041W,YBL085W,0.073,0.139,0.396,918.0
YAL041W,YBR079C,0.121,0.106,0.629,403.0
YAL041W,YBR200W,0.059,0.123,0.506,999.0
YAL041W,YDR379W,0.952,0.139,0.733,977.0
YAL041W,YER114C,0.089,0.139,0.513,970.0
YAL041W,YGL052W,0.0,0.0,0.0,161.0
YAL041W,YGL127C,0.176,0.13,0.506,
YAL041W,YGL233W,0.068,0.101,0.34,819.0
YAL041W,YGR152C,0.106,0.128,0.425,999.0
YAL041W,YGR221C,0.071,0.383,0.396,732.0
YAL041W,YGR268C,0.041,0.383,1.0,290.0
YAL041W,YHL007C,0.131,0.055,0.506,997.0
YAL041W,YIL079C,0.226,0.146,0.506,444.0
YAL041W,YJL008C,0.114,0.055,1.0,242.0
YAL041W,YJL157C,0.1,0.093,1.0,999.0
YAL041W,YJL187C,0.106,0.146,0.506,848.0
YAL041W,YKL130C,0.019,0.106,0.377,
YAL041W,YKL172W,0.152,0.106,0.543,379.0
YAL041W,YLL008W,0.024,0.055,0.331,191.0
YAL041W,YLR206W,0.061,0.173,0.234,575.0
YAL041W,YLR229C,0.103,0.101,0.426,999.0
YAL041W,YLR357W,0.106,0.082,0.386,611.0
YAL041W,YMR298W,0.164,0.112,0.565,185.0
YAL041W,YNL007C,0.187,0.133,0.506,703.0
YAL041W,YNL118C,0.251,0.133,0.515,306.0
YAL041W,YNL175C,0.041,0.133,0.506,420.0
YAL041W,YOR212W,0.1,0.214,0.429,999.0
YAL041W,YPL161C,1.0,0.139,1.0,818.0
YAL041W,YPR129W,0.03,0.106,0.515,233.0
YAL042W,YDL239C,0.14,1.0,0.254,
YAL042W,YML067C,0.28,1.0,0.657,999.0
YAL042W,YML130C,0.165,0.283,0.657,780.0
YAL043C,YDR195W,1.0,1.0,1.0,999.0
YAL043C,YDR228C,0.821,0.171,1.0,999.0
YAL043C,YDR301W,1.0,1.0,0.576,999.0
YAL043C,YDR311W,0.524,0.174,0.68,
YAL043C,YER133W,0.138,0.163,0.431,999.0
YAL043C,YGR156W,0.909,0.513,0.413,999.0
YAL043C,YJL033W,0.658,0.076,1.0,808.0
YAL043C,YJR093C,0.821,0.267,0.576,999.0
YAL043C,YKL018W,0.238,0.056,0.576,999.0
YAL043C,YKL059C,0.821,0.25,0.576,999.0
YAL043C,YKR002W,0.784,0.084,1.0,999.0
YAL043C,YLR115W,0.821,1.0,0.585,999.0
YAL043C,YLR277C,1.0,0.111,0.576,999.0
YAL043C,YMR061W,1.0,1.0,0.74,999.0
YAL043C,YMR182C,0.583,0.75,1.0,161.0
YAL043C,YNL222W,0.368,0.069,0.576,999.0
YAL043C,YNL317W,1.0,1.0,1.0,999.0
YAL043C,YOR179C,1.0,1.0,1.0,999.0
YAL043C,YPR107C,1.0,1.0,0.576,999.0
YAL045C,YDR328C,0.0,0.0,0.0,206.0
YAL045C,YJR063W,0.0,0.0,0.0,163.0
YAL047C,YCL032W,0.141,0.181,0.447,220.0
YAL047C,YEL061C,0.533,0.066,0.482,681.0
YAL047C,YGL212W,0.362,0.151,0.406,457.0
YAL047C,YGR218W,0.071,0.214,0.074,552.0
YAL047C,YHR158C,0.509,0.477,0.0,350.0
YAL047C,YHR172W,0.337,1.0,0.773,999.0
YAL047C,YIL061C,0.067,0.163,0.379,169.0
YAL047C,YLR045C,0.525,0.145,0.615,969.0
YAL047C,YLR212C,0.108,1.0,0.896,998.0
YAL047C,YLR429W,0.189,0.145,0.592,229.0
YAL047C,YMR001C,0.062,0.14,0.776,946.0
YAL047C,YMR047C,0.062,0.262,0.357,261.0
YAL047C,YNL126W,0.525,1.0,0.764,999.0
YAL047C,YNL188W,0.209,0.262,0.896,971.0
YAL047C,YPL093W,0.087,0.066,0.473,224.0
YAL048C,YER114C,0.213,0.376,0.198,211.0
YAL049C,YDL025C,0.43,0.251,0.314,773.0
YAL049C,YNL094W,0.137,0.255,0.47,619.0
YAL051W,YOR363C,0.533,1.0,0.0,979.0
YAL053W,YER100W,0.107,0.041,0.64,153.0
YAL053W,YLR083C,0.111,0.166,0.591,
YAL053W,YLR292C,0.111,0.317,0.64,153.0
YAL053W,YLR342W,0.241,0.059,0.428,646.0
YAL053W,YML072C,0.229,0.109,0.291,633.0
YAL053W,YOR153W,0.12,0.041,0.092,651.0
YAL054C,YHR041C,0.112,0.214,0.41,161.0
YAL054C,YLR049C,0.643,0.477,0.173,161.0
YAL054C,YNL189W,0.067,0.214,0.74,
YAL055W,YDL065C,0.804,0.815,0.125,918.0
YAL055W,YDR265W,0.256,0.173,0.209,950.0
YAL055W,YGR133W,0.143,0.173,0.133,999.0
YAL055W,YMR026C,0.145,0.661,0.133,950.0
YAL055W,YOL044W,0.248,1.0,0.176,991.0
YAL055W,YOR098C,0.666,0.214,1.0,224.0
YAL056W,YER020W,0.123,0.289,1.0,961.0
YAL056W,YGL121C,0.123,0.214,0.308,630.0
YAL058W,YIL120W,0.119,0.153,0.236,169.0
YAL058W,YOR236W,0.193,0.126,0.358,163.0
YAL059W,YBR115C,0.276,0.643,0.506,618.0
YAL059W,YDR395W,0.524,0.383,0.117,853.0
YAL059W,YER110C,0.058,0.383,0.517,629.0
YAL059W,YER165W,1.0,0.22,0.506,264.0
YAL059W,YGL195W,0.04,1.0,0.74,621.0
YAL059W,YMR186W,0.092,0.383,0.74,595.0
YAL059W,YMR308C,1.0,0.383,1.0,716.0
YAL059W,YOL086C,0.064,0.477,0.506,643.0
YAL060W,YER081W,0.23,0.133,1.0,283.0
YAL061W,YMR308C,0.156,0.112,0.506,685.0
YAL062W,YLR267W,0.329,0.323,0.173,243.0
YAL062W,YNL189W,0.105,0.146,0.74,
YAL063C-A,YPR154W,0.058,1.0,0.314,229.0
YAL064W,YHR114W,0.283,0.477,0.314,
YAL064W,YKR011C,1.0,1.0,0.218,161.0
YAL064W,YMR149W,0.095,0.477,0.16,161.0
YAL064W-B,YPR126C,0.0,0.0,0.0,161.0
YAL066W,YJR091C,0.0,0.0,0.0,
YAL067C,YER118C,0.077,0.149,0.529,
YAL067C,YGR260W,0.398,0.275,0.306,394.0
YAL067C,YHR042W,0.041,0.205,0.125,
YAL069W,YMR032W,0.0,0.0,0.0,229.0
YAR002C-A,YGL200C,0.28,1.0,1.0,995.0
YAR002C-A,YGR132C,0.062,1.0,0.138,582.0
YAR002C-A,YJR091C,0.035,0.235,0.205,
YAR002C-A,YML012W,1.0,1.0,0.549,998.0
YAR002C-A,YNL030W,0.033,0.282,0.059,
YAR002W,YBR160W,0.05,0.128,0.371,621.0
YAR002W,YCL027W,0.023,0.477,0.166,
YAR002W,YDL229W,0.045,0.066,0.506,578.0
YAR002W,YER110C,0.039,0.481,0.517,952.0
YAR002W,YER165W,0.252,0.123,0.506,599.0
YAR002W,YGL097W,0.252,0.34,1.0,863.0
YAR002W,YLR293C,0.199,0.066,0.506,784.0
YAR002W,YLR335W,0.022,1.0,0.74,999.0
YAR002W,YLR347C,0.199,0.129,0.517,996.0
YAR002W,YMR047C,0.252,1.0,1.0,994.0
YAR002W,YNL189W,0.105,0.481,1.0,990.0
YAR002W,YOR133W,0.043,0.133,0.506,
YAR003W,YBL026W,0.248,0.056,0.472,234.0
YAR003W,YBL099W,0.098,0.043,0.474,
YAR003W,YBR175W,1.0,1.0,1.0,999.0
YAR003W,YBR258C,1.0,1.0,1.0,999.0
YAR003W,YCL040W,0.217,0.144,0.413,
YAR003W,YDR069C,0.169,0.108,0.506,612.0
YAR003W,YDR140W,0.235,0.548,0.506,361.0
YAR003W,YDR469W,0.168,1.0,1.0,999.0
YAR003W,YER081W,0.254,0.044,0.506,
YAR003W,YFR053C,0.245,0.165,0.413,
YAR003W,YHR119W,0.111,0.923,0.551,999.0
YAR003W,YIL148W,0.362,0.092,0.463,975.0
YAR003W,YJL026W,0.254,0.112,0.506,
YAR003W,YJL141C,0.473,0.175,1.0,315.0
YAR003W,YJR113C,0.362,0.092,0.74,604.0
YAR003W,YKL018W,0.915,1.0,0.576,999.0
YAR003W,YKL035W,0.251,0.138,0.305,
YAR003W,YLR015W,0.168,1.0,0.431,999.0
YAR003W,YPL138C,0.15,0.06,1.0,999.0
YAR007C,YBL099W,0.175,0.029,0.374,
YAR007C,YBR020W,0.348,0.087,0.306,
YAR007C,YBR072W,0.11,0.44,0.306,
