Protein,I_score,Oscore
YOR356W,86,0.000474127
YLR277C,97,0.000534771
YOL006C,92,0.000507206
YPR173C,90,0.000496179
YLR180W,70,0.000385917
YLR382C,78,0.000430022
YOR187W,92,0.000507206
YLR347C,93,0.000512719
YDL188C,50,0.000275655
YOR014W,91,0.000501693
YLR060W,96,0.000529258
YPR145W,35,0.000192959
YMR308C,72,0.000396944
YNL189W,96,0.000529258
YAL038W,85,0.000468614
YFL036W,78,0.000430022
YKL035W,88,0.000485153
YPL006W,88,0.000485153
YNL220W,92,0.000507206
YCL054W,83,0.000457588
YOL004W,81,0.000446561
YNL082W,73,0.000402457
YLR129W,91,0.000501693
YKR031C,73,0.000402457
YER136W,98,0.000540284
YAL036C,76,0.000418996
YFL008W,81,0.000446561
YJR065C,81,0.000446561
YFL022C,91,0.000501693
YML075C,42,0.00023155
YNL061W,95,0.000523745
YJL033W,76,0.000418996
YNR053C,94,0.000518232
YDL178W,81,0.000446561
YPL040C,83,0.000457588
YLR117C,92,0.000507206
YDL055C,94,0.000518232
YDR062W,90,0.000496179
YDL168W,83,0.000457588
YPR033C,95,0.000523745
YCR057C,95,0.000523745
YNL241C,92,0.000507206
YML059C,71,0.00039143
YPL259C,74,0.00040797
YJL008C,95,0.000523745
YNL161W,55,0.000303221
YFR044C,79,0.000435535
YHR018C,73,0.000402457
YHR037W,71,0.00039143
YBR017C,92,0.000507206
YOL057W,71,0.00039143
YAL016W,96,0.000529258
YIL155C,91,0.000501693
YHR170W,95,0.000523745
YBL004W,80,0.000441048
YMR167W,85,0.000468614
YPR024W,85,0.000468614
YHR065C,68,0.000374891
YBL024W,92,0.000507206
YER165W,95,0.000523745
YLL029W,93,0.000512719
YLL008W,36,0.000198472
YDL014W,96,0.000529258
YGR145W,93,0.000512719
YPR035W,86,0.000474127
YLR410W,85,0.000468614
YGL190C,88,0.000485153
YOL097C,93,0.000512719
YDR129C,81,0.000446561
YDL031W,67,0.000369378
YBR097W,80,0.000441048
YNL106C,53,0.000292195
YOR196C,86,0.000474127
YOR217W,91,0.000501693
YGR173W,72,0.000396944
YNL325C,75,0.000413483
YLR188W,68,0.000374891
YDL132W,71,0.00039143
YGR019W,69,0.000380404
YKR038C,90,0.000496179
YKL113C,94,0.000518232
YBR221C,93,0.000512719
YJL101C,85,0.000468614
YMR278W,80,0.000441048
YBR235W,76,0.000418996
YLR234W,97,0.000534771
YLR438W,79,0.000435535
YDR375C,78,0.000430022
YBL091C,95,0.000523745
YML126C,86,0.000474127
YLR276C,67,0.000369378
YBR237W,55,0.000303221
YPL204W,66,0.000363865
YBL105C,63,0.000347326
YCR072C,90,0.000496179
YLR384C,79,0.000435535
YHR068W,96,0.000529258
YKL165C,74,0.00040797
YEL058W,90,0.000496179
YGR185C,78,0.000430022
YDR232W,82,0.000452075
YNL045W,81,0.000446561
YJL154C,90,0.000496179
YFR004W,97,0.000534771
YGR116W,88,0.000485153
YGR244C,95,0.000523745
YKR002W,92,0.000507206
YOL098C,45,0.00024809
YLR089C,46,0.000253603
YDR294C,86,0.000474127
YIL018W,94,0.000518232
YFR031C-A,94,0.000518232
YPR088C,95,0.000523745
YHR171W,83,0.000457588
YDR023W,88,0.000485153
YOR074C,88,0.000485153
YNL023C,75,0.000413483
YLR354C,83,0.000457588
YGR155W,70,0.000385917
YGL119W,85,0.000468614
YGL251C,43,0.000237063
YDR012W,95,0.000523745
YBR031W,92,0.000507206
YOR136W,37,0.000203985
YKR009C,69,0.000380404
YGL211W,89,0.000490666
YOL058W,71,0.00039143
YGL099W,84,0.000463101
YPR112C,85,0.000468614
YPL008W,87,0.00047964
YPL151C,95,0.000523745
YBR198C,86,0.000474127
YPL195W,84,0.000463101
YBR160W,29,0.00015988
YLL041C,89,0.000490666
YLL011W,93,0.000512719
YLL040C,82,0.000452075
YPL028W,75,0.000413483
YLR244C,91,0.000501693
YLR293C,70,0.000385917
YDR099W,73,0.000402457
YDL060W,91,0.000501693
YLR401C,80,0.000441048
YHL030W,68,0.000374891
YLR409C,93,0.000512719
YGL091C,68,0.000374891
YER178W,93,0.000512719
YPL022W,88,0.000485153
YIR027C,77,0.000424509
YCL059C,90,0.000496179
YKL029C,90,0.000496179
YJR040W,91,0.000501693
YMR216C,87,0.00047964
YDR331W,94,0.000518232
YDR283C,68,0.000374891
YPR016C,91,0.000501693
YDR148C,84,0.000463101
YLR383W,75,0.000413483
YLR240W,92,0.000507206
YLR195C,94,0.000518232
YNL154C,41,0.000226037
YHL032C,94,0.000518232
YGR211W,93,0.000512719
YNL071W,87,0.00047964
YHR079C,70,0.000385917
YPL009C,82,0.000452075
YNL238W,77,0.000424509
YNL267W,76,0.000418996
YDR189W,89,0.000490666
YBL063W,44,0.000242577
YDL097C,97,0.000534771
YPL266W,98,0.000540284
YER126C,94,0.000518232
YNL218W,58,0.00031976
YKL212W,80,0.000441048
YER082C,94,0.000518232
YLR340W,95,0.000523745
YOR361C,92,0.000507206
YBR055C,91,0.000501693
YPR021C,21,0.000115775
YOL034W,67,0.000369378
YGR103W,91,0.000501693
YOL023W,85,0.000468614
YDR120C,96,0.000529258
YBR079C,90,0.000496179
YGR245C,92,0.000507206
YMR224C,91,0.000501693
YDR365C,88,0.000485153
YNL239W,56,0.000308734
YGL095C,89,0.000490666
YDR047W,81,0.000446561
YPR047W,84,0.000463101
YMR246W,36,0.000198472
YIL009W,2,1.10262E-05
YDR044W,83,0.000457588
YGL027C,80,0.000441048
YDR390C,80,0.000441048
YOR142W,93,0.000512719
YBR034C,96,0.000529258
YNL037C,51,0.000281168
YIL103W,92,0.000507206
YKL197C,46,0.000253603
YLR212C,92,0.000507206
YBR018C,73,0.000402457
YPL175W,92,0.000507206
YDL040C,93,0.000512719
YOR067C,73,0.000402457
YML049C,89,0.000490666
YKR095W,49,0.000270142
YGR200C,82,0.000452075
YOR244W,81,0.000446561
YBR243C,92,0.000507206
YDR341C,78,0.000430022
YNL250W,84,0.000463101
YBR170C,85,0.000468614
YMR116C,84,0.000463101
YGR171C,71,0.00039143
YGR217W,82,0.000452075
YLR229C,56,0.000308734
YLR222C,82,0.000452075
YJR007W,93,0.000512719
YDL103C,94,0.000518232
YPL131W,89,0.000490666
YGL040C,80,0.000441048
YMR229C,73,0.000402457
YNL288W,91,0.000501693
YGR231C,87,0.00047964
YAR007C,94,0.000518232
YDL147W,97,0.000534771
YNR043W,82,0.000452075
YHR111W,90,0.000496179
YPR176C,85,0.000468614
YOR176W,81,0.000446561
YIL091C,92,0.000507206
YBL098W,80,0.000441048
YOR261C,98,0.000540284
YHR028C,73,0.000402457
YDL100C,93,0.000512719
YDL022W,81,0.000446561
YOR323C,83,0.000457588
YJR072C,92,0.000507206
YOR001W,75,0.000413483
YLR143W,54,0.000297708
YML080W,67,0.000369378
YOR243C,95,0.000523745
YLR005W,94,0.000518232
YGR274C,73,0.000402457
YLR377C,86,0.000474127
YPR029C,81,0.000446561
YOR070C,83,0.000457588
YPR069C,45,0.00024809
YKL134C,68,0.000374891
YOR065W,86,0.000474127
YER015W,73,0.000402457
YOR119C,94,0.000518232
YGL123W,94,0.000518232
YLR447C,96,0.000529258
YGR132C,89,0.000490666
YJR068W,88,0.000485153
YNR012W,78,0.000430022
YDR211W,85,0.000468614
YER061C,86,0.000474127
YDL192W,17,9.37228E-05
YMR217W,90,0.000496179
YIL003W,63,0.000347326
YEL022W,48,0.000264629
YJR031C,29,0.00015988
YMR012W,76,0.000418996
YNL178W,97,0.000534771
YOR002W,71,0.00039143
YBR085W,46,0.000253603
YBR041W,70,0.000385917
YER148W,97,0.000534771
YBR029C,89,0.000490666
YJL216C,25,0.000137828
YGL141W,57,0.000314247
YML121W,81,0.000446561
YLR075W,96,0.000529258
YDL190C,91,0.000501693
YMR190C,47,0.000259116
YGR163W,81,0.000446561
YMR165C,83,0.000457588
YPL090C,96,0.000529258
YBR181C,96,0.000529258
YBR247C,92,0.000507206
YPL029W,87,0.00047964
YDL238C,75,0.000413483
YJL109C,76,0.000418996
YLR208W,72,0.000396944
YMR023C,80,0.000441048
YLR172C,96,0.000529258
YNL117W,37,0.000203985
YDR128W,60,0.000330786
YKL184W,90,0.000496179
YCR073C,23,0.000126801
YPR141C,65,0.000358352
YER107C,63,0.000347326
YHR024C,49,0.000270142
YMR146C,91,0.000501693
YMR213W,67,0.000369378
YGL065C,89,0.000490666
YHR204W,74,0.00040797
YAL048C,85,0.000468614
YPR110C,91,0.000501693
YNL207W,97,0.000534771
YLR272C,81,0.000446561
YOL033W,82,0.000452075
YDR301W,83,0.000457588
YNL172W,53,0.000292195
YPR103W,93,0.000512719
YHR164C,58,0.00031976
YML063W,66,0.000363865
YOL081W,28,0.000154367
YDL195W,94,0.000518232
YPL122C,89,0.000490666
YMR243C,80,0.000441048
YBR296C,80,0.000441048
YGR194C,76,0.000418996
YJL197W,59,0.000325273
YDL201W,91,0.000501693
YJL167W,78,0.000430022
YOL038W,86,0.000474127
YLR429W,87,0.00047964
YBR227C,87,0.00047964
YBR061C,79,0.000435535
YJR123W,95,0.000523745
YER141W,86,0.000474127
YDR364C,91,0.000501693
YFL045C,91,0.000501693
YJR110W,89,0.000490666
YDR456W,92,0.000507206
YNL075W,88,0.000485153
YNL219C,75,0.000413483
YLL045C,76,0.000418996
YGR214W,59,0.000325273
YBR189W,88,0.000485153
YBR220C,86,0.000474127
YPR041W,95,0.000523745
YMR092C,70,0.000385917
YPL268W,87,0.00047964
YLR116W,88,0.000485153
YML069W,93,0.000512719
YBL037W,78,0.000430022
YDR019C,88,0.000485153
YJR138W,65,0.000358352
YJR117W,90,0.000496179
YFL038C,71,0.00039143
YGR028W,72,0.000396944
YNL138W,79,0.000435535
YGR253C,91,0.000501693
YCR024C,50,0.000275655
YOR157C,95,0.000523745
YER021W,93,0.000512719
YOR206W,87,0.00047964
YPL097W,83,0.000457588
YBL072C,97,0.000534771
YER102W,97,0.000534771
YOR184W,83,0.000457588
YDR059C,47,0.000259116
YGL011C,83,0.000457588
YNL227C,48,0.000264629
YPL125W,70,0.000385917
YKL213C,86,0.000474127
YPR118W,78,0.000430022
YCR047C,94,0.000518232
YFR051C,93,0.000512719
YER110C,68,0.000374891
YPR108W,97,0.000534771
YLR167W,83,0.000457588
YPR102C,94,0.000518232
YGR085C,92,0.000507206
YNL048W,84,0.000463101
YMR309C,92,0.000507206
YOR027W,90,0.000496179
YPL220W,93,0.000512719
YGL135W,93,0.000512719
YPR178W,50,0.000275655
YLR262C,15,8.26966E-05
YJR070C,93,0.000512719
YDR050C,96,0.000529258
YDR292C,94,0.000518232
YDR268W,79,0.000435535
YDR226W,63,0.000347326
YLR253W,81,0.000446561
YPR066W,81,0.000446561
YOL060C,62,0.000341812
YGR246C,89,0.000490666
YPR004C,82,0.000452075
YER003C,94,0.000518232
YFR053C,48,0.000264629
YJL060W,85,0.000468614
YNL001W,93,0.000512719
YLR351C,64,0.000352839
YML092C,81,0.000446561
YGR135W,86,0.000474127
YAL025C,90,0.000496179
YDL149W,57,0.000314247
YBR110W,88,0.000485153
YNL006W,81,0.000446561
YCR011C,90,0.000496179
YLR092W,27,0.000148854
YBR294W,15,8.26966E-05
YGL205W,85,0.000468614
YOL145C,68,0.000374891
YML070W,18,9.92359E-05
YBR234C,85,0.000468614
YKL045W,88,0.000485153
YHR077C,74,0.00040797
YOL124C,92,0.000507206
YBL104C,62,0.000341812
YIL160C,57,0.000314247
YKL080W,94,0.000518232
YGR261C,46,0.000253603
YPL263C,74,0.00040797
YBR010W,95,0.000523745
YNL031C,95,0.000523745
YIL148W,88,0.000485153
YKR094C,88,0.000485153
YOR262W,85,0.000468614
YML054C,86,0.000474127
YHL010C,82,0.000452075
YMR293C,78,0.000430022
YML028W,77,0.000424509
YIR008C,87,0.00047964
YOL049W,92,0.000507206
YMR277W,78,0.000430022
YLR386W,84,0.000463101
YOL027C,60,0.000330786
YJR105W,86,0.000474127
YEL054C,95,0.000523745
YDR418W,95,0.000523745
YHR119W,41,0.000226037
YOR362C,87,0.00047964
YEL024W,81,0.000446561
YOL077C,97,0.000534771
YPL218W,67,0.000369378
YGR278W,76,0.000418996
YPL172C,84,0.000463101
YLL010C,35,0.000192959
YBR133C,83,0.000457588
YGR083C,82,0.000452075
YDR064W,96,0.000529258
YER068W,59,0.000325273
YER094C,96,0.000529258
YIL047C,74,0.00040797
YGR267C,76,0.000418996
YBL082C,78,0.000430022
YLR299W,82,0.000452075
YDR155C,63,0.000347326
YER006W,75,0.000413483
YOR175C,87,0.00047964
YGL058W,74,0.00040797
YFL001W,78,0.000430022
YPR132W,91,0.000501693
YGR118W,91,0.000501693
YGR024C,77,0.000424509
YJL191W,94,0.000518232
YCR031C,97,0.000534771
YLR336C,72,0.000396944
YJR002W,85,0.000468614
YIL034C,86,0.000474127
YCL004W,84,0.000463101
YMR296C,80,0.000441048
YDR141C,63,0.000347326
YDR092W,78,0.000430022
YOR145C,94,0.000518232
YDR060W,85,0.000468614
YLR243W,86,0.000474127
YDR105C,86,0.000474127
YER087W,42,0.00023155
YGR100W,43,0.000237063
YLR029C,56,0.000308734
YMR121C,90,0.000496179
YKR017C,90,0.000496179
YPL198W,50,0.000275655
YLR186W,90,0.000496179
YJL100W,66,0.000363865
YER156C,93,0.000512719
YOR160W,75,0.000413483
YER078C,67,0.000369378
YOR101W,42,0.00023155
YBL080C,73,0.000402457
YDR339C,92,0.000507206
YJL001W,92,0.000507206
YML110C,93,0.000512719
YDL205C,71,0.00039143
YEL051W,98,0.000540284
YDR267C,44,0.000242577
YGR054W,86,0.000474127
YKR079C,90,0.000496179
YIL021W,88,0.000485153
YER117W,93,0.000512719
YBL087C,93,0.000512719
YMR093W,85,0.000468614
YDR376W,86,0.000474127
YKL081W,57,0.000314247
YHR069C,86,0.000474127
YFR006W,68,0.000374891
YNR041C,86,0.000474127
YKL013C,79,0.000435535
YKR081C,92,0.000507206
YJR013W,90,0.000496179
YMR300C,76,0.000418996
YOR091W,87,0.00047964
YHR188C,77,0.000424509
YJL053W,91,0.000501693
YMR314W,81,0.000446561
YGL083W,52,0.000286681
YAL003W,91,0.000501693
YKR026C,87,0.00047964
YEL034W,61,0.000336299
YGR003W,61,0.000336299
YIL133C,81,0.000446561
YJR006W,89,0.000490666
YFR005C,72,0.000396944
YPL111W,83,0.000457588
YGL143C,89,0.000490666
YDR373W,78,0.000430022
YHR168W,85,0.000468614
YOR095C,87,0.00047964
YMR022W,51,0.000281168
YJL121C,91,0.000501693
YLR367W,96,0.000529258
YJL190C,96,0.000529258
YPL015C,26,0.000143341
YGR048W,87,0.00047964
YBL079W,72,0.000396944
YKL002W,84,0.000463101
YLR405W,60,0.000330786
YLR114C,68,0.000374891
YDR454C,93,0.000512719
YBL040C,95,0.000523745
YPL227C,85,0.000468614
YNR052C,88,0.000485153
YGR207C,85,0.000468614
YBR088C,92,0.000507206
YBL064C,79,0.000435535
YLR209C,68,0.000374891
YDL064W,75,0.000413483
YJL208C,78,0.000430022
YPL069C,67,0.000369378
YPL211W,94,0.000518232
YHR026W,60,0.000330786
YMR061W,76,0.000418996
YLR399C,60,0.000330786
YHR066W,49,0.000270142
YML093W,84,0.000463101
YBR039W,92,0.000507206
YPL237W,95,0.000523745
YGL100W,64,0.000352839
YAL058W,88,0.000485153
YNR030W,71,0.00039143
YDR450W,91,0.000501693
YML026C,91,0.000501693
YKL193C,94,0.000518232
YJL080C,72,0.000396944
YJL126W,62,0.000341812
YHR200W,88,0.000485153
YGL112C,83,0.000457588
YHR070W,87,0.00047964
YPL247C,82,0.000452075
YOR006C,89,0.000490666
YFR002W,81,0.000446561
YIL033C,89,0.000490666
YDL033C,72,0.000396944
YIL083C,86,0.000474127
YLR216C,31,0.000170906
YJR008W,90,0.000496179
YIR029W,51,0.000281168
YGL055W,76,0.000418996
YOL010W,95,0.000523745
YBR003W,77,0.000424509
YEL021W,71,0.00039143
YJL115W,96,0.000529258
YHR132C,76,0.000418996
YDL083C,94,0.000518232
YMR143W,94,0.000518232
YGL142C,61,0.000336299
YDR208W,67,0.000369378
YIL128W,72,0.000396944
YNL201C,74,0.00040797
YKL067W,98,0.000540284
YOR312C,96,0.000529258
YMR242C,96,0.000529258
YLR022C,86,0.000474127
YMR078C,74,0.00040797
YFR028C,85,0.000468614
YJL068C,78,0.000430022
YNL030W,96,0.000529258
YBR009C,96,0.000529258
YPL135W,54,0.000297708
YML065W,47,0.000259116
YDL148C,81,0.000446561
YML130C,86,0.000474127
YKL025C,74,0.00040797
YKL024C,69,0.000380404
YLR103C,84,0.000463101
YBR020W,81,0.000446561
YJL125C,94,0.000518232
YKL180W,82,0.000452075
YKL190W,81,0.000446561
YBR109C,32,0.000176419
YGR090W,86,0.000474127
YPL155C,18,9.92359E-05
YHR148W,89,0.000490666
YDR164C,82,0.000452075
YMR137C,79,0.000435535
YNL240C,94,0.000518232
YER100W,83,0.000457588
YDR324C,75,0.000413483
YBL003C,76,0.000418996
YJR148W,68,0.000374891
YHR208W,23,0.000126801
YPL012W,83,0.000457588
YDR531W,79,0.000435535
YGR007W,86,0.000474127
YNL139C,81,0.000446561
YDR025W,91,0.000501693
YBR048W,91,0.000501693
YDR372C,70,0.000385917
YJR024C,70,0.000385917
YPR082C,92,0.000507206
YOL002C,53,0.000292195
YKL151C,90,0.000496179
YOR275C,31,0.000170906
YKL189W,81,0.000446561
YNR015W,64,0.000352839
YEL012W,70,0.000385917
YBL055C,93,0.000512719
YJL059W,70,0.000385917
YBR186W,64,0.000352839
YLR148W,89,0.000490666
YNL067W,88,0.000485153
YER170W,57,0.000314247
YMR231W,82,0.000452075
YCR094W,77,0.000424509
YER157W,77,0.000424509
YCL001W,92,0.000507206
YBR267W,87,0.00047964
YPR144C,68,0.000374891
YOL043C,52,0.000286681
YEL052W,87,0.00047964
YKR048C,93,0.000512719
YBR154C,90,0.000496179
YBL041W,87,0.00047964
YOL123W,51,0.000281168
YHR088W,84,0.000463101
YJR132W,63,0.000347326
YIL129C,68,0.000374891
YKR068C,94,0.000518232
YPL132W,74,0.00040797
YEL026W,90,0.000496179
YNL301C,95,0.000523745
YOL120C,95,0.000523745
YMR260C,95,0.000523745
YJR125C,34,0.000187446
YDR204W,81,0.000446561
YPR086W,89,0.000490666
YOL040C,91,0.000501693
YMR272C,73,0.000402457
YFL025C,57,0.000314247
YBR112C,53,0.000292195
YOR096W,72,0.000396944
YER093C,63,0.000347326
YOR254C,69,0.000380404
YDR427W,93,0.000512719
YGL124C,78,0.000430022
YEL004W,66,0.000363865
YOR271C,80,0.000441048
YMR208W,74,0.00040797
YLR009W,89,0.000490666
YDL234C,57,0.000314247
YNL297C,73,0.000402457
YBR222C,72,0.000396944
YBL027W,94,0.000518232
YBR084C-A,94,0.000518232
YDR036C,87,0.00047964
YDL236W,86,0.000474127
YLR088W,76,0.000418996
YJR104C,80,0.000441048
YHR128W,89,0.000490666
YNL169C,87,0.00047964
YPL249C,61,0.000336299
YBR191W,94,0.000518232
YBR117C,16,8.82097E-05
YPL117C,85,0.000468614
YNL200C,79,0.000435535
YEL046C,74,0.00040797
YCL057W,64,0.000352839
YGR010W,53,0.000292195
YOL115W,64,0.000352839
YLR291C,86,0.000474127
YCR063W,93,0.000512719
YLR196W,78,0.000430022
YDL155W,28,0.000154367
YDR410C,88,0.000485153
YOL125W,73,0.000402457
YDR159W,36,0.000198472
YER012W,91,0.000501693
YBR261C,88,0.000485153
YJR142W,49,0.000270142
YNR007C,94,0.000518232
YMR027W,78,0.000430022
YKR093W,83,0.000457588
YML074C,43,0.000237063
YNL313C,80,0.000441048
YER007C-A,89,0.000490666
YFR050C,91,0.000501693
YJL029C,88,0.000485153
YHR008C,86,0.000474127
YDR054C,33,0.000181932
YNL072W,88,0.000485153
YDR224C,91,0.000501693
YER162C,65,0.000358352
YGL063W,23,0.000126801
YKR058W,34,0.000187446
YBL050W,95,0.000523745
YNR035C,81,0.000446561
YOL052C,83,0.000457588
YNR027W,24,0.000132315
YIL159W,48,0.000264629
YNL271C,71,0.00039143
YML018C,57,0.000314247
YDR328C,93,0.000512719
YNL222W,82,0.000452075
YPL045W,84,0.000463101
YPR023C,81,0.000446561
YPL063W,53,0.000292195
YJL091C,78,0.000430022
YLR170C,74,0.00040797
YDR180W,50,0.000275655
YNL308C,66,0.000363865
YOR173W,41,0.000226037
YGR046W,78,0.000430022
YIL022W,83,0.000457588
YLR115W,60,0.000330786
YOL012C,84,0.000463101
YDR507C,12,6.61573E-05
YNL162W,93,0.000512719
YHR141C,93,0.000512719
YKL144C,87,0.00047964
YBR187W,81,0.000446561
YJL069C,84,0.000463101
YDR436W,9,4.96179E-05
YFR018C,65,0.000358352
YPL120W,76,0.000418996
YKL012W,76,0.000418996
YPL178W,86,0.000474127
YLR370C,83,0.000457588
YDR448W,87,0.00047964
YGR284C,71,0.00039143
YOR245C,89,0.000490666
YLR323C,76,0.000418996
YPR119W,36,0.000198472
YOL133W,92,0.000507206
YMR076C,77,0.000424509
YJR057W,89,0.000490666
YLR459W,69,0.000380404
YOR386W,68,0.000374891
YJL143W,87,0.00047964
YDR196C,87,0.00047964
YGR227W,71,0.00039143
YDR083W,87,0.00047964
YDR272W,88,0.000485153
YKL019W,71,0.00039143
YDL166C,91,0.000501693
YDR471W,68,0.000374891
YML060W,72,0.000396944
YKR035W-A,88,0.000485153
YKL017C,77,0.000424509
YOR171C,31,0.000170906
YOR346W,75,0.000413483
YBR035C,71,0.00039143
YER176W,25,0.000137828
YBR060C,72,0.000396944
YLR371W,39,0.000215011
YNR019W,57,0.000314247
YOL138C,52,0.000286681
YBL036C,94,0.000518232
YBL092W,92,0.000507206
YPL084W,27,0.000148854
YER174C,66,0.000363865
YDL030W,92,0.000507206
YOL080C,75,0.000413483
YLR002C,82,0.000452075
YMR235C,78,0.000430022
YAR003W,72,0.000396944
YOL139C,98,0.000540284
YGR162W,44,0.000242577
YDR404C,89,0.000490666
YDR496C,83,0.000457588
YOR272W,54,0.000297708
YOR336W,73,0.000402457
YNL243W,66,0.000363865
YJR048W,72,0.000396944
YDR447C,95,0.000523745
YNL242W,24,0.000132315
YEL062W,62,0.000341812
YNL121C,61,0.000336299
YNL118C,40,0.000220524
YDL077C,28,0.000154367
YPR175W,87,0.00047964
YBL078C,93,0.000512719
YGR276C,45,0.00024809
YLR059C,79,0.000435535
YGL221C,62,0.000341812
YJL041W,63,0.000347326
YDR460W,79,0.000435535
YGR055W,65,0.000358352
YHL036W,23,0.000126801
YHR075C,74,0.00040797
YKL140W,36,0.000198472
YER131W,84,0.000463101
YGL189C,61,0.000336299
YGL087C,77,0.000424509
YLR454W,20,0.000110262
YLR017W,70,0.000385917
YBR252W,87,0.00047964
YGL031C,67,0.000369378
YGR220C,89,0.000490666
YPR113W,94,0.000518232
YPL020C,44,0.000242577
YKL191W,77,0.000424509
YBR244W,58,0.00031976
YML022W,77,0.000424509
YCR084C,41,0.000226037
YML096W,78,0.000430022
YOR125C,71,0.00039143
